Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Journal Article,Theissler A,Detecting Known and Unknown Faults in Automotive Systems Using Ensemble-Based Anomaly Detection,Know. -Based Syst.,2017,123,C,163ñ173,Elsevier Science Publishers B. V.,NLD,,,2017-05,,0950-7051,https://doi.org/10.1016/j.knosys.2017.02.023;http://dx.doi.org/10.1016/j.knosys.2017.02.023,10.1016/j.knosys.2017.02.023,"The massive growth of data produced in the automotive industry by acquiring data during production and test of vehicles requires effective and intelligent ways of analysing these recordings. In order to detect potential faults, data from the in-vehicle network interconnecting vehicle subsystems is recorded during road trials. The complexity and volume of this data keeps increasing since the degree of interconnection between the vehicle subsystems and the amount of data transmitted over the in-vehicle network is augmented with each functionality added to modern vehicles. In this paper, an anomaly detection approach is proposed that (a) is capable of detecting faults of known and previously unknown fault types, (b) functions as an out-of-the-box approach not requiring the setting of expert-parameters and (c) is robust against different driving scenarios and fault types. To achieve this, an ensemble classifier is used consisting of two-class and one-class classifiers. Without modelling effort and user parameterisation the approach reports anomalies in the multivariate time series which point the expert to potential faults. The approach is validated on recordings from road trials and it could be shown that the ensemble-anomaly detector is robust against different driving scenarios and fault types.","Vehicle electronics, One-class classification, Ensemble methods, Fault detection, Anomaly detection",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCIENCE DIRECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Item type,Authors,Editors,Title,Journal,Publication year,Volume,Issue,Pages,Publisher,Book title,Date published,ISSN,URLs,DOI,Abstract,Keywords,,,,,,,,,,,,,
Journal Article,"Lyu P,Zhang K,Yu W,Wang B,Liu C",,A novel RSG-based intelligent bearing fault diagnosis method for motors in high-noise industrial environment,Advanced Engineering Informatics,2022,52,,101564,,,2022-04-01,1474-0346,https://www.sciencedirect.com/science/article/pii/S1474034622000374;http://dx.doi.org/10.1016/j.aei.2022.101564,10.1016/j.aei.2022.101564,"Bearing fault diagnosis is a critical and challenging task for prognostics and health management of motors. The ability to efficiently and accurately classify the fault categories based on sensor signals is the key to successful bearing fault diagnosis. Although various data-driven methods have been developed for fault diagnosis in recent years, automatic and effective extraction of discriminative fault features from high-noise vibration signals generated in the real-world industrial environment remains a challenging task. To tackle this challenge, this paper proposes a novel deep learning method based on the combination of residual building Unit, soft thresholding and global context, called RSG, to solve the complex mapping relationship between vibration signals and different types of bearing faults. The proposed RSG integrates the working mechanisms of soft threshold and global context to achieve effective noise reduction and feature extraction. A comparative analysis is performed to demonstrate the advantages of the proposed method. Furthermore, the proposed method is tested on a faulty motor dataset collected by our developed intelligent motor test platform based on Industrial Internet of Things. Experimental results show that our method can achieve an average fault diagnosis accuracy of 98%. Thus, the proposed method proves to be an efficient solution for intelligent bearing fault diagnosis for motors in a high-noise industrial environment.",Fault diagnosis; Deep residual unit; Soft thresholds; Global context; Deep learning,,,,,,,,,,,,,
Journal Article,"Xu C,Zhao S,Liu F",,Sensor fault detection and diagnosis in the presence of outliers,Neurocomputing,2019,349,,156-163,,,2019-07-15,0925-2312,https://www.sciencedirect.com/science/article/pii/S0925231219300372;http://dx.doi.org/10.1016/j.neucom.2019.01.025,10.1016/j.neucom.2019.01.025,"In this paper, a sensor fault detection and diagnosis (FDD) method is proposed for linear state-space models in the presence of outliers. The t-distribution with unknown scale matrix and degrees of freedom (dof) parameter is used to describe the measurement noise. By using the variational Bayesian inference, the states, the scale matrix, and the dof parameter are estimated simultaneously. Since the noise distribution is no longer the Gaussian, a modified residual evaluation is proposed to detect the fault. After that, the cause of fault can be determined by observing the changes on measurement noise covariance. Two continuous stirred tank reactor (CSTR) process is conducted to demonstrate that the proposed method can provide more reliable FDD results than the existing methods when measurements contain outliers.",Sensor fault detection and diagnosis; t-distribution; Unknown noise statistics; Variational Bayesian inference,,,,,,,,,,,,,
Journal Article,"Tertytchny G,Nicolaou N,Michael MK",,Classifying network abnormalities into faults and attacks in IoT-based cyber physical systems using machine learning,Microprocessors and Microsystems,2020,77,,103121,,,2020-09-01,0141-9331,https://www.sciencedirect.com/science/article/pii/S014193312030288X;http://dx.doi.org/10.1016/j.micpro.2020.103121,10.1016/j.micpro.2020.103121,"Cyber Physical Systems (CPS) integrate physical processes with electronic computing devices and digital communication channels. Their proper operation might be affected by two main sources of abnormality, security attacks and failures. The topics of fault diagnosis and security attack analysis in CPS have been studied extensively in a stand-alone manner. However, considering the co-existence of both sources of abnormality, faults and attacks, in a system and being able to differentiate among them, is an important and timely problem not yet addressed adequately. In this work, we study the internal communication environment of an Energy Aware Smart Home (EASH) system. More specifically, we formally define the problem of differentiating between component failures and network attacks in EASH, based on their effect on the communication behaviour. We formally show the correlation between such abnormality sources and provide a machine learning based framework for the differentiation problem. Our framework is evaluated using a simulation as well as a real-time testbed environment, demonstrating a promising accuracy in classification of over 85%. Based on the obtained experimental results, we also provide a detailed analysis on the considered classes and features used in the proposed approach, which can further improve the classification accuracy.",Machine Learning (ML); Cyber Physical Systems (CPS); Internet of Things (IoT); Cyber security; Fault diagnosis; Energy Aware Smart Home (EASH),,,,,,,,,,,,,
Journal Article,"Kim D,Han SC,Lin Y,Kang BH,Lee S",,RDR-based knowledge based system to the failure detection in industrial cyber physical systems,Knowledge-Based Systems,2018,150,,1-13,,,2018-06-15,0950-7051,https://www.sciencedirect.com/science/article/pii/S0950705118300601;http://dx.doi.org/10.1016/j.knosys.2018.02.009,10.1016/j.knosys.2018.02.009,"Cyber Physical System(CPS) allows to collect different sensor and alarm data from large number of facilities in industrial plants. Failure and faulty diagnosis is one of the most complicated and dynamic problems in the industrial plant management since most of failures are extremely ambiguous which needs to be solved based on an expertís experience. This makes the solutions very subjective and requires too much time, efforts and monetary investment. In this paper, we are proposing new failure detection approach with machine learning and human expertise by using alarm data. As the first step of developing this new method, we collected several types of alarm data that detected functional failure in Hyundai Steel factory. We analyzed and processed the alarm data with 35 domain experts. Based on the data, we propose a knowledge based system which is Ripple Down Rule-based. This system acquires knowledge by machine learning which is maintained by human experts. The evaluation results showed that the proposed failure detection framework can reduce the time of human expertise acquisition and the cost of solving over-generalization and over-fitting problems by using machine learning techniques.",Alarm network; Sensor data mining; Knowledge-based system; Failure detection; Knowledge engineering and cyber physical system,,,,,,,,,,,,,
Journal Article,"Humeniuk D,Khomh F,Antoniol G",,A search-based framework for automatic generation of testing environments for cyberñphysical systems,Information and Software Technology,2022,149,,106936,,,2022-09-01,0950-5849,https://www.sciencedirect.com/science/article/pii/S0950584922000866;http://dx.doi.org/10.1016/j.infsof.2022.106936,10.1016/j.infsof.2022.106936,"Background: Many modern cyberñphysical systems incorporate computer vision technologies, complex sensors and advanced control software, allowing them to interact with the environment autonomously. Examples include drone swarms, self-driving vehicles, autonomous robots, etc. Testing such systems poses numerous challenges: not only should the system inputs be varied, but also the surrounding environment should be accounted for. A number of tools have been developed to test the system model for the possible inputs falsifying its requirements. However, they are not directly applicable to autonomous cyberñphysical systems, as the inputs to their models are generated while operating in a virtual environment. Aims: In this paper, we aim to design a search-based framework, named AmbieGen, for generating diverse fault-revealing test scenarios for autonomous cyberñphysical systems. The scenarios represent an environment in which an autonomous agent operates. The framework should be applicable to generating different types of environments. Methods: To generate the test scenarios, we leverage the NSGA-II algorithm with two objectives. The first objective evaluates the deviation of the observed systemís behaviour from its expected behaviour. The second objective is the test case diversity, calculated as a Jaccard distance with a reference test case. To guide the first objective we are using a simplified system model rather than the full model. The full model is used to run the system in the simulation environment and can take substantial time to execute (several minutes for one scenario). The simplified system model is derived from the full model and can be used to get an approximation of the results obtained from the full model without running the simulation. Results: We evaluate AmbieGen on three scenario generation case studies, namely a smart-thermostat, a robot obstacle avoidance system, and a vehicle lane-keeping assist system. For all the case studies, our approach outperforms the available baselines in fault revealing and several other metrics such as the diversity of the revealed faults and the proportion of valid test scenarios. Conclusion: AmbieGen could find scenarios, revealing failures for all the three autonomous agents considered in our case studies. We compared three configurations of AmbieGen: based on a single objective genetic algorithm, multi-objective, and random search. Both single and multi objective configurations outperform the random search. Multi objective configuration can find the individuals of the same quality as the single objective, producing more unique test scenarios in the same time budget. Our framework can be used to generate virtual environments of different types and complexity and reveal the systemís faults early in the design stage.",Cyberñphysical systems; Test scenario generation; Genetic algorithms; Virtual environments,,,,,,,,,,,,,
Journal Article,"Soother DK,Ujjan SM,Dev K,Khowaja SA,Bhatti NA,Hussain T",,Towards soft real-time fault diagnosis for edge devices in industrial IoT using deep domain adaptation training strategy,Journal of Parallel and Distributed Computing,2022,160,,90-99,,,2022-02-01,0743-7315,https://www.sciencedirect.com/science/article/pii/S0743731521002033;http://dx.doi.org/10.1016/j.jpdc.2021.10.005,10.1016/j.jpdc.2021.10.005,"Artificial intelligence and industrial internet of things (IIoT) have been rejuvenating the fault diagnosis systems in Industry 4.0 for avoiding major financial losses caused by faults in rotating machines. Meanwhile, the diagnostic systems are provided with a number of sensory inputs that introduce variations in input space which causes difficulty for the algorithms in edge devices. This issue is generally dealt with bi-view cross-domain learning approach. We propose a soft real-time fault diagnosis system for edge devices using domain adaptation training strategy. The investigation is carried out using deep learning models that can learn representations irrespective of input dimensions. A comparative analysis is performed on a publicly available dataset to evaluate the efficacy of the proposed approach which achieved accuracy of 88.08%. The experimental results show that our method using long short-term memory network achieves the best results for the bearing fault detection in an IIoT environmental setting.",Fault detection; Induction motor; Deep learning; Condition monitoring; Domain adaptation,,,,,,,,,,,,,
Journal Article,"Iqbal R,Doctor F,More B,Mahmud S,Yousuf U",,Big Data analytics and Computational Intelligence for CyberñPhysical Systems: Recent trends and state of the art applications,Future Generation Computer Systems,2020,105,,766-778,,,2020-04-01,0167-739X,https://www.sciencedirect.com/science/article/pii/S0167739X17323282;http://dx.doi.org/10.1016/j.future.2017.10.021,10.1016/j.future.2017.10.021,"Big data is fuelling the digital revolution in an increasingly knowledge driven and connected society by offering big data analytics and computational intelligence based solutions to reduce the complexity and cognitive burden on accessing and processing large volumes of data. In this paper, we discuss the importance of big data analytics and computational intelligence techniques applied to data produced from the myriad of pervasively connected machines and personalized devices offering embedded and distributed information processing capabilities. We provide a comprehensive survey of computational intelligence techniques appropriate for the effective processing and analysis of big data. We discuss a number of exemplar application areas that generate big data and can hence benefit from its effective processing. State of the art research and novel applications in health-care, intelligent transportation and social network sentiment analysis, are presented and discussed in the context of Big data, CyberñPhysical Systems (CPS), and Computational Intelligence (CI). We present a data modelling methodology, which introduces a novel biologically inspired universal generative modelling approach called Hierarchical SpatialñTemporal State Machine (HSTSM). The HSTSM modelling approach incorporates a number of soft computing techniques such as: deep belief networks, auto-encoders, agglomerative hierarchical clustering and temporal sequence processing, in order to address the computational challenges arising from analysing and processing large volumes of diverse data to provide an effective big data analytics tool for diverse application areas. A conceptual cyberñphysical architecture, which can accommodate and benefit from the proposed methodology, is further presented.",Big Data; Big Data analytics; CyberñPhysical Systems; Computational Intelligence; CI and CPS applications; HSTSM,,,,,,,,,,,,,
Journal Article,"Brito LC,Susto GA,Brito JN,Duarte MA",,An explainable artificial intelligence approach for unsupervised fault detection and diagnosis in rotating machinery,Mechanical Systems and Signal Processing,2022,163,,108105,,,2022-01-15,0888-3270,https://www.sciencedirect.com/science/article/pii/S0888327021004891;http://dx.doi.org/10.1016/j.ymssp.2021.108105,10.1016/j.ymssp.2021.108105,"The monitoring of rotating machinery is an essential task in todayís production processes. Currently, several machine learning and deep learning-based modules have achieved excellent results in fault detection and diagnosis. Nevertheless, to further increase user adoption and diffusion of such technologies, users and human experts must be provided with explanations and insights by the modules. Another issue is related, in most cases, with the unavailability of labeled historical data that makes the use of supervised models unfeasible. Therefore, a new approach for fault detection and diagnosis in rotating machinery is here proposed. The methodology consists of three parts: feature extraction, fault detection and fault diagnosis. In the first part, the vibration features in the time and frequency domains are extracted. Secondly, in the fault detection, the presence of fault is verified in an unsupervised manner based on anomaly detection algorithms. The modularity of the methodology allows different algorithms to be implemented. Finally, in fault diagnosis, Shapley Additive Explanations (SHAP), a technique to interpret black-box models, is used. Through the feature importance ranking obtained by the model explainability, the fault diagnosis is performed. Two tools for diagnosis are proposed, namely: unsupervised classification and root cause analysis. The effectiveness of the proposed approach is shown on three datasets containing different mechanical faults in rotating machinery. The study also presents a comparison between models used in machine learning explainability: SHAP and Local Depth-based Feature Importance for the Isolation Forest (Local-DIFFI). Lastly, an analysis of several state-of-art anomaly detection algorithms in rotating machinery is included.",Anomaly detection; Explainable artificial intelligence; Fault detection; Fault diagnosis; Rotating machinery; Condition monitoring,,,,,,,,,,,,,
Journal Article,"Soualhi M,Nguyen KT,Medjaher K",,Pattern recognition method of fault diagnostics based on a new health indicator for smart manufacturing,Mechanical Systems and Signal Processing,2020,142,,106680,,,2020-08-01,0888-3270,https://www.sciencedirect.com/science/article/pii/S0888327020300662;http://dx.doi.org/10.1016/j.ymssp.2020.106680,10.1016/j.ymssp.2020.106680,"Smart manufacturing is one of the key parts of the fourth industry revolution (Industry 4.0). It offers promising perspectives for high reliability, availability, maintainability and safety production process, but also makes the systems more complex and challenging for health assessment. To deal with these challenges, one needs to develop a robust approach to monitor and assess the system health state. In this paper, a practical and effective method that can be applied for fault detection and diagnostics of a given system is developed. The proposed method relies on a pattern recognition technique based on the construction of a new health indicator. This health indicator, which can be applied to different types of sensor measurements, is fed to an Adaptive Neuro-Fuzzy Inference System (ANFIS) to detect the health states of the system and diagnose the causes. Furthermore, the performance and the robustness of the proposed method are highlighted by considering various case studies under numerous operating conditions.",Prognostics and health management; Fault detection and diagnostics; Signal processing; Health indicator; Smart manufacturing; Bearing fault; Gear fault; Rotor-bar fault; Tool-wear damage.,,,,,,,,,,,,,
Journal Article,"Cheng C,Zhou B,Ma G,Wu D,Yuan Y",,Wasserstein distance based deep adversarial transfer learning for intelligent fault diagnosis with unlabeled or insufficient labeled data,Neurocomputing,2020,409,,35-45,,,2020-10-07,0925-2312,https://www.sciencedirect.com/science/article/pii/S0925231220308754;http://dx.doi.org/10.1016/j.neucom.2020.05.040,10.1016/j.neucom.2020.05.040,"Intelligent fault diagnosis is one critical topic of maintenance solution for mechanical systems. Deep learning models, such as convolutional neural networks (CNNs), have been successfully applied to fault diagnosis tasks and achieved promising results. However, one is that two datasets (in source and target domains) of similar tasks are with different feature distributions because of different operational conditions; another one is that insufficient or unlabeled data in real industry applications (target domains) limit the adaptability of the source domain well-defined models. To solve the above problems, the concept of transfer learning should be adopted for domain adaptation, in the meantime, a network performs both supervised and unsupervised learning is required. Inspired by Wasserstein distance of optimal transport, in this paper, we propose a novel Wasserstein Distance-based Deep Transfer Learning (WD-DTL) network for both supervised and unsupervised fault diagnosis tasks. WD-DTL learns domain feature representations (generated by a CNN based feature extractor) and minimizes distributions between the source and target domains through an adversarial training process. The effectiveness of the proposed WD-DTL is verified through 16 different transfer tasks. Results show that WD-DTL achieves the highest diagnostic accuracies when compared to the existing Maximum Mean Discrepancy and CNN networks in almost all transfer tasks.",Transfer learning; Domain adaptation; Wasserstein distance; Convolutional neural networks; Intelligent fault diagnosis,,,,,,,,,,,,,
Journal Article,"Alwan AA,Ciupala MA,Brimicombe AJ,Ghorashi SA,Baravalle A,Falcarin P",,Data quality challenges in large-scale cyber-physical systems: A systematic review,Information Systems,2022,105,,101951,,,2022-03-01,0306-4379,https://www.sciencedirect.com/science/article/pii/S0306437921001484;http://dx.doi.org/10.1016/j.is.2021.101951,10.1016/j.is.2021.101951,"Cyber-physical systems (CPSs) are integrated systems engineered to combine computational control algorithms and physical components such as sensors and actuators, effectively using an embedded communication core. Smart cities can be viewed as large-scale, heterogeneous CPSs that utilise technologies like the Internet of Things (IoT), surveillance, social media, and others to make informed decisions and drive the innovations of automation in urban areas. Such systems incorporate multiple layers and complex structure of hardware, software, analytical algorithms, business knowledge and communication networks, and operate under noisy and dynamic conditions. Thus, large-scale CPSs are vulnerable to enormous technical and operational challenges that may compromise the quality of data of their applications and accordingly reduce the quality of their services. This paper presents a systematic literature review to investigate data quality challenges in smart-cities large-scale CPSs and to identify the most common techniques used to address these challenges. This systematic literature review showed that significant work had been conducted to address data quality management challenges in smart cities, large-scale CPS applications. However, still, more is required to provide a practical, comprehensive data quality management solution to detect errors in sensor nodesí measurements associated with the main data quality dimensions of accuracy, timeliness, completeness, and consistency. No systematic or generic approach was demonstrated for detecting sensor nodes and sensor node networks failures in large-scale CPS applications. Moreover, further research is required to address the challenges of ensuring the quality of the spatial and temporal contextual attributes of sensor nodesí observations.",Cyber-physical systems (CPS); Wireless Sensor Networks(WSN); Data quality management; Data quality dimensions; Smart cities; Quality of observations,,,,,,,,,,,,,
Journal Article,"De Vita F,Bruneo D,Das SK",,On the use of a full stack hardware/software infrastructure for sensor data fusion and fault prediction in industry 4.0,Pattern Recognition Letters,2020,138,,30-37,,,2020-10-01,0167-8655,https://www.sciencedirect.com/science/article/pii/S0167865520302464;http://dx.doi.org/10.1016/j.patrec.2020.06.028,10.1016/j.patrec.2020.06.028,"Aspects related to prognostics are becoming a crucial part in the industrial sector. In this sense, Industry 4.0 is considered as a new paradigm that leverages on the IoT to propose increasingly more solutions to provide an estimate on the working conditions of an industrial plant. However, in context like the industrial sector where the number and heterogeneity of sensors can be very large, and the time requirements are very stringent, emerges the challenge to design effective infrastructures to interact with these complex systems. In this paper, we propose a full stack hardware/software infrastructure to collect, manage, and analyze the data gathered from a set of heterogeneous sensors attached to a real scale replica industrial plant available in our laboratory. On top of the proposed infrastructure we designed and implemented a fault prediction algorithm which exploits sensors data fusion with the aim to assess the working conditions of the industrial plant. The result section shows the obtained results in terms of accuracy from testing our proposed model and provides a comparison with a traditional Deep Neural Network (DNN) topology.",Industry4.0; Deep learning; Data fusion; IIoT industrial testbed,,,,,,,,,,,,,
Journal Article,"Shao H,Lin J,Zhang L,Galar D,Kumar U",,A novel approach of multisensory fusion to collaborative fault diagnosis in maintenance,Information Fusion,2021,74,,65-76,,,2021-10-01,1566-2535,https://www.sciencedirect.com/science/article/pii/S1566253521000622;http://dx.doi.org/10.1016/j.inffus.2021.03.008,10.1016/j.inffus.2021.03.008,"Collaborative fault diagnosis can be facilitated by multisensory fusion technologies, as these can give more reliable results with a more complete data set. Although deep learning approaches have been developed to overcome the problem of relying on subjective experience in conventional fault diagnosis, there are two remaining obstacles to collaborative efficiency: integration of multisensory data and fusion of maintenance strategies. To overcome these obstacles, we propose a novel two-part approach: a stacked wavelet auto-encoder structure with a Morlet wavelet function for multisensory data fusion and a flexible weighted assignment of fusion strategies. Taking a planetary gearbox as an example, we use noisy vibration signals from multisensors to test the diagnosis performance of the proposed approach. The results demonstrate that it can provide more accurate and reliable fault diagnosis results than other approaches.",Collaborative maintenance; Prognostics and health management; Multi-sensor information fusion; Fault diagnosis; Stacked wavelet auto-encoder; Planetary gearbox,,,,,,,,,,,,,
Journal Article,"Belhadi A,Djenouri Y,Srivastava G,Jolfaei A,Lin JC",,Privacy reinforcement learning for faults detection in the smart grid,Ad Hoc Networks,2021,119,,102541,,,2021-08-01,1570-8705,https://www.sciencedirect.com/science/article/pii/S1570870521000913;http://dx.doi.org/10.1016/j.adhoc.2021.102541,10.1016/j.adhoc.2021.102541,"Recent anticipated advancements in ad hoc Wireless Mesh Networks (WMN) have made them strong natural candidates for Smart Gridís Neighborhood Area Network (NAN) and the ongoing work on Advanced Metering Infrastructure (AMI). Fault detection in these types of energy systems has recently shown lots of interest in the data science community, where anomalous behavior from energy platforms is identified. This paper develops a new framework based on privacy reinforcement learning to accurately identify anomalous patterns in a distributed and heterogeneous energy environment. The local outlier factor is first performed to derive the local simple anomalous patterns in each site of the distributed energy platform. A reinforcement privacy learning is then established using blockchain technology to merge the local anomalous patterns into global complex anomalous patterns. Besides, different optimization strategies are suggested to improve the whole outlier detection process. To demonstrate the applicability of the proposed framework, intensive experiments have been carried out on well-known CASAS (Center of Advanced Studies in Adaptive Systems) platform. Our results show that our proposed framework outperforms the baseline fault detection solutions.",Energy systems; Privacy learning; Reinforcement learning; Anomaly detection; Smart grid,,,,,,,,,,,,,
Journal Article,"Sanislav T,Mois G,Miclea L",,An approach to model dependability of cyber-physical systems,Microprocessors and Microsystems,2016,41,,67-76,,,2016-03-01,0141-9331,https://www.sciencedirect.com/science/article/pii/S0141933115002057;http://dx.doi.org/10.1016/j.micpro.2015.11.021,10.1016/j.micpro.2015.11.021,"Cyber-Physical Systems (CPSs) represent a new generation of digital systems, where cyber entities and physical devices cooperate towards a set of common goals. The research presented in this paper aims to contribute to the development of CPSs by proposing: (1) an analysis methodology to model the CPSís behavior in terms of dependability; and (2) a CPS architecture with dependability facilities applicable in environmental monitoring, based on the Wireless Sensor Network, multi-agent and cloud computing technologies. The proposed methodology combines a primary dependability analysis technique with the representation of knowledge in order to support the development of CPSs capable to model the dependability at run-time. A dependability domain ontology has been implemented on a CPS case study based on this methodology and its effectiveness has been demonstrated, showing how the proposed approach is able to enhance system dependability. Also, the paper provides a detailed description of each architectural layer of the CPS case study, focusing on the wireless sensor node and on the intelligent decision system.",Cyber-Physical System; Dependability analysis; Environmental monitoring; Wireless sensor networks; Agents,,,,,,,,,,,,,
Journal Article,"Dowdeswell B,Sinha R,MacDonell SG",,Finding faults: A scoping study of fault diagnostics for Industrial CyberñPhysical Systems,Journal of Systems and Software,2020,168,,110638,,,2020-10-01,0164-1212,https://www.sciencedirect.com/science/article/pii/S0164121220301114;http://dx.doi.org/10.1016/j.jss.2020.110638,10.1016/j.jss.2020.110638,"Context: As Industrial CyberñPhysical Systems (ICPS) become more connected and widely-distributed, often operating in safety-critical environments, we require innovative approaches to detect and diagnose the faults that occur in them. Objective: We profile fault identification and diagnosis techniques employed in the aerospace, automotive, and industrial control domains. Each of these sectors has adopted particular methods to meet their differing diagnostic needs. By examining both theoretical presentations as well as case studies from production environments, we present a profile of the current approaches being employed and identify gaps. Methodology: A scoping study was used to identify and compare fault detection and diagnosis methodologies that are presented in the current literature. We created categories for the different diagnostic approaches via a pilot study and present an analysis of the trends that emerged. We then compared the maturity of these approaches by adapting and using the NASA Technology Readiness Level (TRL) scale. Results: Fault identification and analysis studies from 127 papers published from 2004 to 2019 reveal a wide diversity of promising techniques, both emerging and in-use. These range from traditional Physics-based Models to Data-Driven Artificial Intelligence (AI) and Knowledge-Based approaches. Hybrid techniques that blend aspects of these three broad categories were also encountered. Predictive diagnostics or prognostics featured prominently across all sectors, along with discussions of techniques including Fault trees, Petri nets and Markov approaches. We also profile some of the techniques that have reached the highest Technology Readiness Levels, showing how those methods are being applied in real-world environments beyond the laboratory. Conclusions: Our results suggest that the continuing wide use of both Model-Based and Data-Driven AI techniques across all domains, especially when they are used together in hybrid configuration, reflects the complexity of the current ICPS application space. While creating sufficiently-complete models is labor intensive, Model-free AI techniques were evidenced as a viable way of addressing aspects of this challenge, demonstrating the increasing sophistication of current machine learning systems. Connecting ICPS together to share sufficient telemetry to diagnose and manage faults is difficult when the physical environment places demands on ICPS. Despite these challenges, the most mature papers present robust fault diagnosis and analysis techniques which have moved beyond the laboratory and are proving valuable in real-world environments.",Industrial cyberñphysical systems; Faults; Automotive; Aerospace; Avionics; Industrial control,,,,,,,,,,,,,
Journal Article,"Alwan AA,Brimicombe AJ,Ciupala MA,Ghorashi SA,Baravalle A,Falcarin P",,Time-series clustering for sensor fault detection in large-scale CyberñPhysical Systems,Computer Networks,2022,218,,109384,,,2022-12-09,1389-1286,https://www.sciencedirect.com/science/article/pii/S1389128622004182;http://dx.doi.org/10.1016/j.comnet.2022.109384,10.1016/j.comnet.2022.109384,"Large-scale CyberñPhysical Systems (CPSs) are information systems that involve a vast network of sensor nodes and other devices that stream observations in real-time and typically are deployed in uncontrolled, broad geographical terrains. Sensor node failures are inevitable and unpredictable events in large-scale CPSs, which compromise the integrity of the sensors measurements and potentially reduce the quality of CPSs services and raise serious concerns related to CPSs safety, reliability, performance, and security. While many studies were conducted to tackle the challenge of sensor nodes failure detection using domain-specific solutions, this paper proposes a novel sensor nodes failure detection approach and empirically evaluates its validity using a real-world case study. This paper investigates time-series clustering techniques as a feasible solution to identify sensor nodes malfunctions by detecting long-segmental outliers in their observationsí time series. Three different time-series clustering techniques have been investigated using real-world observations collected from two various sensor node networks, one of which consists of 275 temperature sensors distributed around London. This study demonstrates that time-series clustering effectively detects sensor nodeís continuous (halting/repeating) and incipient faults. It also showed that the feature-based time series clustering technique is a more efficient long-segmental outliers detection mechanism compared to shape-based time-series clustering techniques such as DTW and K-Shape, mainly when applied to shorter time-series windows.",Cyberñphysical systems (CPSs); Wireless sensor networks(WSNs); Time-series clustering; Dynamic time warping; K-shape; Characteristics based time-series clustering,,,,,,,,,,,,,
Journal Article,"Chen G,Guan N,Huang K,Yi W",,Fault-tolerant real-time tasks scheduling with dynamic fault handling,Journal of Systems Architecture,2020,102,,101688,,,2020-01-01,1383-7621,https://www.sciencedirect.com/science/article/pii/S1383762119304953;http://dx.doi.org/10.1016/j.sysarc.2019.101688,10.1016/j.sysarc.2019.101688,"Predictable performance when coping with transient failures is of paramount importance in safety-critical real-time systems. Various software fault-tolerant techniques are employed towards this goal among which check-pointing is a relatively cost-effective scheme. In this paper, we propose an efficient fault-tolerant scheduling framework with run-time fault handling protocol, where criticality levels can be adaptively inserted for fault handling according to run-time fault workload. In contrast to prior works which apply with task re-execution strategy, the proposed framework adaptively determines on-demand re-executions only on the faulty checkpoint segments, rather than on the whole job. Towards this, a unified overrun handling protocol is developed to handle fault recovery adaptively to avoid over-provisioning of resources. In addition, we develop an off-line schedulability analysis technique for the proposed scheduling algorithm. The simulation results show that our fault-tolerant scheduling framework can bring up to 81% improvement in supporting low-criticality service without sacrifice in the MC-schedulability compared with the existing techniques.",Fault-tolerant scheduling; Run-time fault handling; Check-pointing; Safety-critical real-time system,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCOPUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,,,,,,,,,,
Cai F.; Koutsoukos X.,"Cai, Feiyang (57197870767); Koutsoukos, Xenofon (6603632868)",57197870767; 6603632868,Real-time detection of deception attacks in cyber-physical systems,2023,International Journal of Information Security,,,,,,,0,10.1007/s10207-023-00677-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151262866&doi=10.1007%2fs10207-023-00677-z&partnerID=40&md5=49c0bd33ae394e8c7bd0e1631a396a70,Conference paper,Article in press,,Scopus,2-s2.0-85151262866,,,,,,,,,,
Cook M.; Paterson C.; Marnerides A.K.; Pezaros D.,"Cook, Marco (57219268034); Paterson, Cory (57874859100); Marnerides, Angelos K. (35117864100); Pezaros, Dimitrios (8600838000)",57219268034; 57874859100; 35117864100; 8600838000,Anomaly Diagnosis in Cyber-Physical Systems,2022,IEEE International Conference on Communications,2022-May,,,5445,5450,5,1,10.1109/ICC45855.2022.9838968,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137264754&doi=10.1109%2fICC45855.2022.9838968&partnerID=40&md5=a3cb5f7ca5fbad7235727f219a7ef747,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85137264754,,,,,,,,,,
